date,mcode
15-May-99,25
16-May-99,"1	"
16-May-99,"5	"
16-May-99,"8	"
16-May-99,16
16-May-99,17
16-May-99,20
17-May-99,"2	"
17-May-99,"6	"
17-May-99,13
17-May-99,19
18-May-99,18
18-May-99,20
18-May-99,24
19-May-99,"4	"
19-May-99,"6	"
19-May-99,"9	"
19-May-99,17
19-May-99,19
19-May-99,20
19-May-99,29
21-May-99,"2	"
21-May-99,"6	"
21-May-99,"7	"
21-May-99,"8	"
21-May-99,"9	"
21-May-99,13
21-May-99,17
21-May-99,18
21-May-99,19
21-May-99,20
21-May-99,25
22-May-99,"6	"
22-May-99,"8	"
22-May-99,"9	"
22-May-99,11
22-May-99,18
22-May-99,19
22-May-99,20
22-May-99,25
22-May-99,29
23-May-99,"2	"
23-May-99,"4	"
23-May-99,"7	"
23-May-99,19
23-May-99,20
23-May-99,23
23-May-99,25
23-May-99,28
24-May-99,"6	"
24-May-99,13
24-May-99,19
24-May-99,20
24-May-99,25
25-May-99,"2	"
25-May-99,"3	"
25-May-99,"6	"
25-May-99,"8	"
25-May-99,10
25-May-99,13
25-May-99,17
25-May-99,19
25-May-99,20
25-May-99,22
25-May-99,23
25-May-99,27
26-May-99,"2	"
26-May-99,"5	"
26-May-99,"8	"
26-May-99,13
26-May-99,16
26-May-99,17
26-May-99,19
26-May-99,22
26-May-99,23
26-May-99,24
26-May-99,25
26-May-99,28
27-May-99,"2	"
27-May-99,"6	"
27-May-99,"7	"
27-May-99,"8	"
27-May-99,"9	"
27-May-99,17
27-May-99,19
27-May-99,22
27-May-99,25
27-May-99,27
28-May-99,"3	"
28-May-99,14
28-May-99,17
28-May-99,19
28-May-99,20
28-May-99,25
28-May-99,27
29-May-99,"1	"
29-May-99,"2	"
29-May-99,"4	"
29-May-99,"5	"
29-May-99,"6	"
29-May-99,"8	"
29-May-99,"9	"
29-May-99,12
29-May-99,13
29-May-99,17
29-May-99,19
29-May-99,20
29-May-99,25
29-May-99,27
30-May-99,"2	"
30-May-99,"4	"
30-May-99,11
30-May-99,13
30-May-99,18
30-May-99,19
30-May-99,20
30-May-99,21
30-May-99,25
30-May-99,27
30-May-99,28
31-May-99,"1	"
31-May-99,"4	"
31-May-99,11
31-May-99,17
31-May-99,19
31-May-99,20
31-May-99,27
31-May-99,28
1-Jun-99,"1	"
1-Jun-99,"2	"
1-Jun-99,17
1-Jun-99,19
1-Jun-99,20
1-Jun-99,21
1-Jun-99,29
2-Jun-99,"1	"
2-Jun-99,"2	"
2-Jun-99,13
2-Jun-99,17
2-Jun-99,19
2-Jun-99,20
3-Jun-99,"2	"
3-Jun-99,13
3-Jun-99,17
3-Jun-99,19
3-Jun-99,20
3-Jun-99,25
4-Jun-99,"1	"
4-Jun-99,"2	"
4-Jun-99,"4	"
4-Jun-99,"7	"
4-Jun-99,13
4-Jun-99,17
4-Jun-99,19
4-Jun-99,20
4-Jun-99,24
4-Jun-99,25
5-Jun-99,"1	"
5-Jun-99,"3	"
5-Jun-99,"4	"
5-Jun-99,"9	"
5-Jun-99,13
5-Jun-99,19
5-Jun-99,20
5-Jun-99,21
5-Jun-99,25
5-Jun-99,27
6-Jun-99,"1	"
6-Jun-99,"2	"
6-Jun-99,"3	"
6-Jun-99,"4	"
6-Jun-99,"8	"
6-Jun-99,13
6-Jun-99,17
6-Jun-99,19
6-Jun-99,20
6-Jun-99,24
6-Jun-99,25
7-Jun-99,"1	"
7-Jun-99,"2	"
7-Jun-99,"4	"
7-Jun-99,"8	"
7-Jun-99,17
7-Jun-99,18
7-Jun-99,20
7-Jun-99,21
7-Jun-99,23
7-Jun-99,24
7-Jun-99,27
8-Jun-99,"1	"
8-Jun-99,"2	"
8-Jun-99,"4	"
8-Jun-99,"5	"
8-Jun-99,11
8-Jun-99,17
8-Jun-99,20
8-Jun-99,21
8-Jun-99,22
8-Jun-99,25
9-Jun-99,16
9-Jun-99,17
9-Jun-99,25
10-Jun-99,10
